,Marca,Model_tipo,Inicio,Fin,C_C,N_decilind,G_D,P_KW,cvf,cv,Valor_euros
0,ABARTH,124 1.4 Spider / TB Multiair 6V 170,2016,2021,1368,4,G,125,"10,61",170,30.300
1,ABARTH,124 1.4 Spider / TB Multiair 6V Aut. 170,2016,2021,1368,4,G,125,"10,61",170,31.800
2,ABARTH,124 1.4 Spider TB Multiair Turismo 6V 170,2016,2021,1368,4,G,125,"10,61",170,28.800
3,ABARTH,124 1.4 Spider TB Multiair Turismo 6V Aut. 170,2016,2021,1368,4,G,125,"10,61",170,30.300
4,ABARTH,124 1.4 Spider TB Multiair GT 6V 170,2016,2021,1368,4,G,125,"10,61",170,31.300
5,ABARTH,124 1.4 Spider TB Multiair GT 6V Aut. 170,2016,2021,1368,4,G,125,"10,61",170,32.800
6,ABARTH,500 1.4 T-Jet,2009,2016,1368,4,G,99,"10,61",135,14.000
7,ABARTH,500 1.4 T-Jet Secuencial,2009,2016,1368,4,G,103,"10,61",140,15.300
8,ABARTH,500 1.4 T-Jet 595 Competizione 160,2009,2016,1368,4,G,118,"10,61",160,17.200
9,ABARTH,500 1.4 T-Jet 595 Competizione Secuencial 160,2009,2016,1368,4,G,118,"10,61",160,19.800
10,ABARTH,500 1.4 T-Jet 595 Turismo 160,2009,2016,1368,4,G,118,"10,61",160,16.500
11,ABARTH,500 1.4 T-Jet 595 Turismo (Secuencial) 160,2009,2016,1368,4,G,118,"10,61",160,17.700
12,ABARTH,500 1.4 T-Jet 595 Competizione 180,2009,2016,1368,4,G,132,"10,61",180,19.600
13,ABARTH,500 1.4 T-Jet 595 Competizione Secuencial 180,2009,2016,1368,4,G,132,"10,61",180,20.900
14,ABARTH,500 1.4 16v 121kW Monster Energy Yamaha E6D (2021),2021,,1368,4,G,121,"10,61",165,21.400
15,ABARTH,500 1.4 16v T-Jet 595 107kW (145CV) E6D (2021),2021,,1368,4,G,107,"10,61",145,17.500
16,ABARTH,500 1.4 16v T-Jet 695 132kW 70 Anivers. E6D (2021),2021,,1368,4,G,132,"10,61",180,28.100
17,ABARTH,500 595 Competizione 1.4 16v T-Jet 132kW E6D (2021),2021,,1368,4,G,132,"10,61",180,23.700
18,ABARTH,500 595 Esseesse 1.4 16v T-Jet 132kW E6D (2021),2021,,1368,4,G,132,"10,61",180,25.700
19,ABARTH,500 595 Turismo 1.4 16v T-Jet 121kW E6D (2021),2021,,1368,4,G,121,"10,61",165,21.600
20,ABARTH,500 695 Esseesse 1.4 16v T-Jet 132kW E6D (2021),2021,,1368,4,G,132,"10,61",180,28.900
21,ABARTH,500 Vita,2009,2016,1368,4,G,99,"10,61",135,14.400
22,ABARTH,500 C,2010,2016,1368,4,G,99,"10,61",135,15.400
23,ABARTH,500 C 1.4 T-Jet,2010,2016,1368,4,G,99,"10,61",135,15.400
24,ABARTH,500 C 1.4 T-Jet Secuencial 140,2010,2016,1368,4,G,103,"10,61",140,16.600
25,ABARTH,500 C 1.4 T-Jet 595 Competizione 160,2010,2016,1368,4,G,118,"10,61",160,18.600
26,ABARTH,500 C 1.4 T-Jet 595 Competizione Secuencial 160,2010,2016,1368,4,G,118,"10,61",160,21.100
27,ABARTH,500 C 1.4 T-Jet 595 Turismo 160,2010,2016,1368,4,G,118,"10,61",160,17.900
28,ABARTH,500 C 1.4 T-Jet 595 Turismo (Secuencial) 160,2010,2016,1368,4,G,118,"10,61",160,19.100
29,ABARTH,500 C 1.4 T-Jet 595 Competizione 180,2010,2016,1368,4,G,132,"10,61",180,20.900
30,ABARTH,500 C 1.4 T-Jet 595 Competizione Secuencial 180,2010,2016,1368,4,G,132,"10,61",180,22.200
31,ABARTH,500C 1.4 16v 121kW Monster Energy Yamaha E6D (2021),2021,,1368,4,G,121,"10,61",165,22.900
32,ABARTH,500C 1.4 16v T-Jet 595 107kW (145CV) E6D (2021),2021,,1368,4,G,107,"10,61",145,19.000
33,ABARTH,500C 595C Competiz. 1.4 16v T-Jet 132kW E6D (2021),2021,,1368,4,G,132,"10,61",180,25.200
34,ABARTH,500C 595C Esseesse 1.4 16v T-Jet 132kW E6D (2021),2021,,1368,4,G,132,"10,61",180,27.200
35,ABARTH,500C 595C Turismo 1.4 16v T-Jet 121kW E6D (2021),2021,,1368,4,G,121,"10,61",165,23.100
36,ABARTH,595 1.4 T-Jet,2016,,1368,4,G,103,"10,61",140,14.800
37,ABARTH,595 1.4 T-Jet Secuencial,2016,,1368,4,G,103,"10,61",140,16.100
38,ABARTH,595 1.4 T-Jet 145,2016,,1368,4,G,107,"10,61",145,15.300
39,ABARTH,595 1.4 T-Jet Aut. 145,2017,,1368,4,G,107,"10,61",145,16.800
40,ABARTH,595 1.4 T-Jet Turismo 160,2016,,1368,4,G,118,"10,61",160,18.000
41,ABARTH,595 1.4 T-Jet Pista 160,2018,,1368,4,G,118,"10,61",160,17.400
42,ABARTH,595 1.4 T-Jet Turismo Secuencial 160,2016,,1368,4,G,118,"10,61",160,19.300
43,ABARTH,595 1.4 T-Jet Pista Cabrio 165,2018,,1368,4,G,121,"10,61",165,18.800
44,ABARTH,595 1.4 T-Jet Turismo 165,2016,,1368,4,G,121,"10,61",165,18.400
45,ABARTH,595 1.4 T-Jet Turismo Aut. 165,2017,,1368,4,G,121,"10,61",165,19.600
46,ABARTH,595 1.4 T-Jet XSR Yamaha 165,2018,,1368,4,G,121,"10,61",165,20.600
47,ABARTH,595 1.4 T-Jet XSR Yamaha Cabrio 165,2018,,1368,4,G,121,"10,61",165,22.000
48,ABARTH,595 1.4 T-Jet Competizione 180,2016,,1368,4,G,132,"10,61",180,20.200
49,ABARTH,595 1.4 T-Jet Competizione Secuencial 180,2016,,1368,4,G,132,"10,61",180,21.600
50,ABARTH,595 C 1.4 T-Jet,2016,,1368,4,G,99,"10,61",135,16.100
51,ABARTH,595 C 1.4 T-Jet Secuencial 140,2016,,1368,4,G,103,"10,61",140,17.500
52,ABARTH,595 C 1.4 T-Jet 145,2016,,1368,4,G,107,"10,61",145,16.700
53,ABARTH,595 C 1.4 T-Jet Aut. 145,2017,,1368,4,G,107,"10,61",145,17.900
54,ABARTH,595 C 1.4 T-Jet Turismo 160,2016,,1368,4,G,118,"10,61",160,19.300
